sa,naics_sector,series,geo,year,month,applications,year_month,value_smoothed
U,TOTAL,BA_BA,US,2023,December,316492,2023-12-01,364725.0
A,TOTAL,BA_BA,US,2023,December,449039,2023-12-01,407183.6666666667
U,TOTAL,BA_BA,US,2022,December,295145,2022-12-01,353558.6666666667
A,TOTAL,BA_BA,US,2022,December,423977,2022-12-01,389387.0
U,TOTAL,BA_BA,US,2021,December,375586,2021-12-01,364902.6666666667
A,TOTAL,BA_BA,US,2021,December,428051,2021-12-01,409204.6666666667
U,TOTAL,BA_BA,US,2020,December,310328,2020-12-01,371321.6666666667
A,TOTAL,BA_BA,US,2020,December,351569,2020-12-01,363316.0
U,TOTAL,BA_BA,US,2019,December,224336,2019-12-01,295411.0
A,TOTAL,BA_BA,US,2019,December,315189,2019-12-01,297031.3333333333
U,TOTAL,BA_BA,US,2018,December,213669,2018-12-01,251064.66666666666
A,TOTAL,BA_BA,US,2018,December,298879,2018-12-01,275912.3333333333
U,TOTAL,BA_BA,US,2017,December,192730,2017-12-01,235092.66666666666
A,TOTAL,BA_BA,US,2017,December,269327,2017-12-01,253645.33333333334
U,TOTAL,BA_BA,US,2016,December,186797,2016-12-01,216284.66666666666
A,TOTAL,BA_BA,US,2016,December,261125,2016-12-01,239083.0
U,TOTAL,BA_BA,US,2015,December,203598,2015-12-01,217173.33333333334
A,TOTAL,BA_BA,US,2015,December,226600,2015-12-01,230441.0
U,TOTAL,BA_BA,US,2014,December,187152,2014-12-01,205783.33333333334
A,TOTAL,BA_BA,US,2014,December,206463,2014-12-01,206738.33333333334
U,TOTAL,BA_BA,US,2013,December,167676,2013-12-01,187097.0
A,TOTAL,BA_BA,US,2013,December,228837,2013-12-01,200992.0
U,TOTAL,BA_BA,US,2012,December,203488,2012-12-01,200000.33333333334
A,TOTAL,BA_BA,US,2012,December,275276,2012-12-01,235867.0
U,TOTAL,BA_BA,US,2011,December,213023,2011-12-01,230595.66666666666
A,TOTAL,BA_BA,US,2011,December,228952,2011-12-01,239083.66666666666
U,TOTAL,BA_BA,US,2010,December,193157,2010-12-01,211710.66666666666
A,TOTAL,BA_BA,US,2010,December,206073,2010-12-01,209394.0
U,TOTAL,BA_BA,US,2009,December,190294,2009-12-01,196508.0
A,TOTAL,BA_BA,US,2009,December,201220,2009-12-01,199195.66666666666
U,TOTAL,BA_BA,US,2008,December,178925,2008-12-01,190146.33333333334
A,TOTAL,BA_BA,US,2008,December,187029,2008-12-01,189058.0
U,TOTAL,BA_BA,US,2007,December,189943,2007-12-01,185299.0
A,TOTAL,BA_BA,US,2007,December,245556,2007-12-01,207509.33333333334
U,TOTAL,BA_BA,US,2006,December,193356,2006-12-01,209618.33333333334
A,TOTAL,BA_BA,US,2006,December,247474,2006-12-01,228795.33333333334
U,TOTAL,BA_BA,US,2005,December,183942,2005-12-01,208257.33333333334
A,TOTAL,BA_BA,US,2005,December,234221,2005-12-01,221879.0
U,TOTAL,BA_BA,US,2004,December,190986,2004-12-01,203049.66666666666
A,TOTAL,BA_BA,US,2004,December,193836,2004-12-01,206347.66666666666
